subject,mean_radius,mean_curvature,length,snr_t1,snr_fa,contrast,pv,imbalance,difficulty_score,difficulty_tier
209935,1.0617307,0.48470208,94.88123,3.6934783,1.006359,0.09613608,0.8576998,0.0002804543,2.9999526,hard
212015,1.0419139,0.41808504,78.75992,4.706395,1.2775818,0.06043467,0.90076333,0.00021485095,2.9702742,hard
212318,1.0361519,0.43789595,58.701157,3.3604207,1.6595584,0.0747703,0.9161677,0.00018259598,2.5360265,medium
213421,1.0520867,0.42105573,66.24385,4.327347,1.4463191,0.059517592,0.8807229,0.00022687824,2.6934798,medium
214019,1.0323263,0.4784824,57.80093,3.271225,1.4725473,0.07361415,0.92335767,0.0001497943,2.736601,medium
221319,1.055996,0.42136058,79.79023,3.681004,1.448398,0.08907604,0.87240356,0.00027635408,2.3987782,easy
231928,1.0481644,0.46765345,62.243855,3.0191884,1.622972,0.067307726,0.88372093,0.00018806293,2.5933466,medium
248238,1.0443133,0.41594318,66.454384,3.5259125,1.3757416,0.08621153,0.89785624,0.00021676438,2.5371537,medium
250427,1.0686579,0.45305577,70.76101,3.5425332,1.2358792,0.09707755,0.8448459,0.0002572198,2.2506392,easy
257542,1.0385096,0.47794867,53.60557,3.9124207,1.4515138,0.08449601,0.90702945,0.000120546145,1.9684482,easy
283543,1.0692639,0.46232745,68.04018,3.361023,1.209657,0.08511156,0.8411317,0.00025120613,2.4714305,easy
309636,1.0579561,0.55049074,76.56413,3.5307422,1.2811717,0.071651,0.8676957,0.000247926,2.9420679,hard
310621,1.0532506,1.2109588,107.28992,3.5508194,1.5372976,0.0865992,0.8739224,0.00025366628,3.1939306,hard
316633,1.0632586,0.440104,68.4079,3.3751523,1.41309,0.094549656,0.85046726,0.00026323344,2.1719108,easy
333330,1.0480307,0.53349656,64.16526,3.3652592,1.3444074,0.06870568,0.8879093,0.00021703774,3.0194433,hard
360030,1.0473527,0.55670434,78.481155,3.087324,1.2722013,0.081082806,0.8867403,0.00019790343,2.8888571,hard
389357,1.0435638,0.52864957,71.14335,4.790881,1.3963261,0.06791797,0.89575756,0.0002255115,2.6985068,medium
390645,1.0514836,0.4692089,65.82211,3.7090683,1.3676599,0.08150987,0.8766007,0.00023480531,2.484702,easy
397760,1.050528,0.44262734,68.968376,3.9815166,1.4081842,0.09017435,0.8841743,0.00023835883,2.2825665,easy
397861,1.0453937,0.7022855,71.06866,3.7940118,1.2881095,0.075472444,0.8944591,0.00020719723,3.0107815,hard
406836,1.039713,0.53650045,77.92189,5.111697,1.4125687,0.059445143,0.9085648,0.00023617204,3.0856507,hard
441939,1.0628889,0.4622584,70.84329,3.4254017,1.3318384,0.09203328,0.855359,0.00026268672,2.3761556,easy
445543,1.0476186,0.466974,78.528854,3.895781,1.3690943,0.07993391,0.88995725,0.00025585305,2.7242754,medium
453441,1.0520478,0.58211327,12.217332,3.5914624,1.2097336,0.08972901,0.8826406,0.00022359806,2.7729208,hard
465852,1.0387081,0.46893495,79.33489,3.8971725,1.3320751,0.0912485,0.9095675,0.00020856397,2.5485935,medium
467351,1.058878,0.5053331,68.161125,3.6865778,1.3803637,0.10888891,0.86902285,0.00026296006,2.223228,easy
492754,1.0384421,0.50024503,79.17125,3.22955,1.2407684,0.08708367,0.9071926,0.00023562535,3.1585455,hard
499566,1.0658803,0.47948888,68.89015,3.8476255,1.3658291,0.0709745,0.8468992,0.00028209438,2.6003091,medium
500222,1.0541555,0.48098943,71.7216,3.4277866,1.3126965,0.08952671,0.87628865,0.00023863217,2.5650563,medium
524135,1.0593418,0.4131755,70.376015,3.4896553,1.3837274,0.089256555,0.860252,0.00023863217,2.1812017,easy
540436,1.0605375,0.50081086,94.51815,3.903001,1.2929463,0.08276674,0.86100745,0.00029302828,2.6997364,medium
541943,1.060983,0.4100592,62.55971,3.439654,1.2704499,0.07691307,0.8581706,0.0002659669,2.7080622,medium
545345,1.0524794,0.4812315,80.8002,3.456931,1.2450674,0.08412288,0.8771061,0.0002758074,2.9675026,hard
555651,1.0469451,0.52448887,71.865425,3.282734,1.422779,0.07939701,0.88926554,0.00024191233,2.8624089,hard
