fold,dice_mean,dice_std,jc_mean,jc_std,hd95_mean,hd95_std,asd_mean,asd_std
1,82.6327,2.3314,70.4714,3.3325,1.3018,0.1553,0.3132,0.0297
2,82.7269,2.3648,70.6107,3.4060,1.2500,0.0000,0.3071,0.0289
3,82.7427,2.2568,70.6277,3.2540,1.2500,0.0000,0.3169,0.0329
4,81.8060,2.4888,69.2873,3.5135,1.3018,0.1553,0.3630,0.0532
5,82.9297,2.4797,70.9136,3.5913,1.2500,0.0000,0.3079,0.0410
